1,366706,69878
1st,366666,55391
2,366930,63229
2day,366770,11204
2mrw,367141,64468
4,367022,8242
4get,366804,5725
about,367103,63751
abt,367103,63751
acc,367076,46067
afta,366702,39426
after,366702,38645
again,366642,61826
ah,367086,7254
ahh,367086,7254
ain,366970,16381
aint,366970,35071
all,366744,37462
alll,366744,37462
alright,367075,25552
am,367120,22421
amazing,367048,67766
and,367131,54754
anniversary,366833,51465
anyones,366824,60431
anyway,366605,5181
apology,366957,6565
apply,366662,67170
appreciate,366723,76788
are,367096,58598
askin,366992,39393
asking,366992,34668
b,366881,53353
b4,367044,63575
back,367149,51718
background,367065,29619
bak,367149,79691
bb,367067,53353
bc,367068,11497
bck,367149,51718
bcuz,367068,62301
bday,366712,41122
be,366881,53353
because,367068,13609
bed,367085,41122
been,367069,63061
begging,367038,82503
being,366768,70667
between,366915,17892
bf,367064,36684
bg,367065,48146
bhee,366881,44467
big,367037,48146
bio,367028,53353
biology,367028,4626
birthday,366712,63622
bitch,367002,49471
black,366667,6873
blackberry,367067,2625
blck,366667,6873
blocking,366871,57311
bn,367069,63061
boi,366654,53353
boy,366654,53353
boyfriend,367064,42163
bridge,366848,80325
bro,366664,81954
brother,366664,45074
brr,366788,81954
brrr,366788,81954
bs,367073,11497
bt,367071,86122
btw,366915,71017
bullshit,367073,16798
business,366991,1502
bussiness,366991,1502
but,367071,86122
buy,366899,53353
buying,366961,70667
bye,366861,53353
byeee,366861,53353
c,366936,83185
caz,367068,49228
chem,366627,23849
chick,366608,71336
cho,367113,55820
clean,367046,74167
cmputr,366738,17440
cnt,367053,8205
come,367025,38664
comin,367122,16589
coming,367122,54562
comming,367122,54562
computer,366738,17440
confirms,366597,20438
confused,366591,22813
congrats,366951,79707
congratulations,366951,71564
congratz,366951,58001
cont,366973,8205
continued,366973,21662
conversation,366621,24181
cooking,366789,79722
cool,366925,38599
could,366796,20774
coz,367068,49228
crazi,366700,19736
crazy,366700,19736
cum,367025,38664
cutee,367094,21522
cutie,367094,21522
cuz,367068,49228
d,367039,72905
da,367039,72905
damn,367091,75978
dat,366842,31694
dats,366713,26824
de,367039,72905
def,366694,68933
definitely,366694,8356
dese,367035,21040
dey,366600,72905
dha,367039,58951
didnt,366693,24665
dirty,366923,3296
dnt,366801,69275
do,366980,72905
dog,366769,6607
doin,366862,33012
doing,366862,83321
dollar,367145,1901
dont,366801,69275
driving,366924,80737
du,366980,72905
dude,366954,2011
dumb,366976,16202
dy,366901,72905
dye,366901,72905
dying,366846,83321
education,366978,50117
ee,366766,62608
either,366948,38585
entire,366689,42261
esp,367054,17793
especially,367054,46330
every1,367084,34742
everybody,366958,41758
everyone,367084,78618
exhausted,366734,32908
exp,366876,24993
experience,366876,56799
f,366967,47888
faar,367116,78978
facebook,366715,541
fam,366607,76844
family,366607,78526
fat,366998,2200
fb,366715,13842
fck,366967,32789
feeling,367056,78263
fine,366966,61769
finger,367059,7284
first,366666,16692
flirting,366803,5105
fo,367022,47888
followers,366927,36968
fone,366880,61769
for,367022,78978
forever,366626,1307
forget,366804,13390
foto,366780,2200
fried,366623,30995
friends,366761,41373
frm,366949,36154
frnds,366761,41373
from,366949,36154
fuck,366967,32789
fucked,366932,59219
fuckin,367134,27906
fucking,367134,8734
fun,366602,61769
g0t,366959,80995
garbage,366946,27497
gat,366959,35121
gay,367152,29493
gettin,366763,25122
getting,366763,82647
gf,366590,11717
ghe,367039,72900
girl,366661,59553
girlfriend,366590,63842
giving,367011,32985
goin,367146,12460
gon,366774,12460
gonna,366774,12460
good,367144,71310
goood,367144,71310
got,366959,35121
gota,366783,35121
gotta,366783,35121
gt,366959,35121
gud,367144,71310
haha,366971,42938
hahah,366971,79993
hahaha,366971,79993
happend,367060,49628
happened,367060,49628
hav,367078,3196
have,367078,3196
havent,366618,25619
he,366766,27806
here,367040,85839
hert,366646,38992
him,366655,3912
hoe,367042,27806
hold,366709,52991
holding,366764,66145
homework,366806,36035
honey,366707,77713
hosp,367072,53159
hospital,367072,33985
hot,367041,70754
hours,366892,75915
hrs,366892,75915
hurt,366646,38992
hurts,366882,73069
hve,367078,3196
hw,367101,32407
ii,366975,12408
im,366977,52782
important,367014,69991
improve,367105,59127
industry,366641,2764
interestng,367045,10689
interveiw,366819,37404
interview,366819,37404
is,366773,75868
ish,366904,75868
isnt,366739,7232
it,366753,83070
jerk,366947,43698
