_,__0_0_0_0
aa,A_0_0_0_0
aaa,A_0_0_0_0
aaaaa,A_0_0_0_0
aaam,A_0_12_0_0_0
aaaye,A_0_0_0_0
aab,A_9_0_0_0_0
aadat,A_8_2_0_0_0
aadha,A_24_0_0_0_0
aadhe,A_24_0_0_0_0
aadi,A_8_0_0_0_0
aaein,A_11_0_0_0_0
aaen,A_11_0_0_0_0
aaengi,A_11_13_0_0_0
aag,A_13_0_0_0_0
aaga,A_13_0_0_0_0
aagay,A_13_0_0_0_0
aagaya,A_13_0_0_0_0
aagaye,A_13_0_0_0_0
aage,A_13_0_0_0_0
aagey,A_13_0_0_0_0
aagy,A_13_0_0_0_0
aagya,A_13_0_0_0_0
aah,A_19_0_0_0_0
aai,A_0_0_0_0
aain,A_11_0_0_0_0
aaine,A_11_0_0_0_0
aaise,A_1_0_0_0_0
aaj,A_4_0_0_0_0
aaja,A_4_0_0_0_0
aajao,A_4_0_0_0_0
aajata,A_4_2_0_0_0
aajayegi,A_4_13_0_0_0
aajtak,A_4_2_7_0_0
aajtk,A_4_2_7_0_0
aak,A_7_0_0_0_0
aakar,A_7_14_0_0_0
aake,A_7_0_0_0_0
aakhir,A_6_14_0_0_0
aakhirat,A_6_14_2_0_0
aala,A_17_0_0_0_0
aalaa,A_17_0_0_0_0
aalam,A_17_12_0_0_0
aalim,A_17_12_0_0_0
aaliya,A_17_0_0_0_0
aalmi,A_17_12_0_0_0
aalo,A_17_0_0_0_0
aam,A_12_0_0_0_0
aameen,A_12_11_0_0_0
aami,A_12_0_0_0_0
aamir,A_12_14_0_0_0
aan,A_11_0_0_0_0
aane,A_11_0_0_0_0
aaney,A_11_0_0_0_0
aani,A_11_0_0_0_0
aankh,A_11_6_0_0_0
aankhe,A_11_6_0_0_0
aankhen,A_11_6_11_0_0
aankho,A_11_6_0_0_0
aansu,A_11_1_0_0_0
aany,A_11_0_0_0_0
aao,A_0_0_0_0
aap,A_10_0_0_0_0
aapka,A_10_7_0_0_0
